date,datatype,station,attributes,value
2018-01-17T00:00:00,ASTP,GHCND:USW00013781,",,W,",10230.0
2018-01-17T00:00:00,AWBT,GHCND:USW00013781,",,W,",-44.0
2018-01-17T00:00:00,AWND,GHCND:USW00013781,",,W,",56.0
2018-01-17T00:00:00,PRCP,GHCND:USW00013781,",,W,2400",30.0
2018-01-17T00:00:00,RHAV,GHCND:USW00013781,",,W,",77.0
2018-01-17T00:00:00,RHMN,GHCND:USW00013781,",,W,",57.0
2018-01-17T00:00:00,RHMX,GHCND:USW00013781,",,W,",100.0
2018-01-17T00:00:00,SNOW,GHCND:USW00013781,",,W,",20.0
2018-01-17T00:00:00,SNWD,GHCND:USW00013781,"T,,W,",0.0
2018-01-17T00:00:00,TMAX,GHCND:USW00013781,",,W,2400",22.0
2018-01-17T00:00:00,TMIN,GHCND:USW00013781,",,W,2400",-77.0
2018-01-17T00:00:00,WDF2,GHCND:USW00013781,",,W,",310.0
2018-01-17T00:00:00,WDF5,GHCND:USW00013781,",,W,",330.0
2018-01-17T00:00:00,WSF2,GHCND:USW00013781,",,W,",98.0
2018-01-17T00:00:00,WSF5,GHCND:USW00013781,",,W,",121.0
2018-01-17T00:00:00,WT01,GHCND:USW00013781,",,W,",1.0
2018-01-18T00:00:00,ADPT,GHCND:USW00013781,",,W,",-117.0
2018-01-18T00:00:00,ASLP,GHCND:USW00013781,",,W,",10196.0
2018-01-18T00:00:00,ASTP,GHCND:USW00013781,",,W,",10173.0
2018-01-18T00:00:00,AWBT,GHCND:USW00013781,",,W,",-61.0
2018-01-18T00:00:00,AWND,GHCND:USW00013781,",,W,",41.0
2018-01-18T00:00:00,PRCP,GHCND:USW00013781,",,W,2400",0.0
2018-01-18T00:00:00,RHAV,GHCND:USW00013781,",,W,",55.0
2018-01-18T00:00:00,RHMN,GHCND:USW00013781,",,W,",39.0
2018-01-18T00:00:00,RHMX,GHCND:USW00013781,",,W,",71.0
2018-01-18T00:00:00,SNOW,GHCND:USW00013781,",,W,",0.0
2018-01-18T00:00:00,SNWD,GHCND:USW00013781,",,W,",30.0
2018-01-18T00:00:00,TMAX,GHCND:USW00013781,",,W,2400",22.0
2018-01-18T00:00:00,TMIN,GHCND:USW00013781,",,W,2400",-99.0
2018-01-18T00:00:00,WDF2,GHCND:USW00013781,",,W,",300.0
2018-01-18T00:00:00,WDF5,GHCND:USW00013781,",,W,",300.0
2018-01-18T00:00:00,WSF2,GHCND:USW00013781,",,W,",94.0
2018-01-18T00:00:00,WSF5,GHCND:USW00013781,",,W,",125.0
2018-01-19T00:00:00,ADPT,GHCND:USW00013781,",,W,",-83.0
2018-01-19T00:00:00,ASLP,GHCND:USW00013781,",,W,",10183.0
2018-01-19T00:00:00,ASTP,GHCND:USW00013781,",,W,",10156.0
2018-01-19T00:00:00,AWBT,GHCND:USW00013781,",,W,",-22.0
2018-01-19T00:00:00,AWND,GHCND:USW00013781,",,W,",23.0
2018-01-19T00:00:00,PRCP,GHCND:USW00013781,",,W,2400",0.0
2018-01-19T00:00:00,RHAV,GHCND:USW00013781,",,W,",52.0
2018-01-19T00:00:00,RHMN,GHCND:USW00013781,",,W,",31.0
2018-01-19T00:00:00,RHMX,GHCND:USW00013781,",,W,",78.0
2018-01-19T00:00:00,SNOW,GHCND:USW00013781,",,W,",0.0
2018-01-19T00:00:00,SNWD,GHCND:USW00013781,",,W,",0.0
2018-01-19T00:00:00,TMAX,GHCND:USW00013781,",,W,2400",83.0
2018-01-19T00:00:00,TMIN,GHCND:USW00013781,",,W,2400",-66.0
2018-01-19T00:00:00,WDF2,GHCND:USW00013781,",,W,",290.0
2018-01-19T00:00:00,WDF5,GHCND:USW00013781,",,W,",290.0
2018-01-19T00:00:00,WSF2,GHCND:USW00013781,",,W,",81.0
2018-01-19T00:00:00,WSF5,GHCND:USW00013781,",,W,",98.0
2018-01-20T00:00:00,ADPT,GHCND:USW00013781,",,W,",-39.0
2018-01-20T00:00:00,ASLP,GHCND:USW00013781,",,W,",10159.0
2018-01-20T00:00:00,ASTP,GHCND:USW00013781,",,W,",10125.0
2018-01-20T00:00:00,AWBT,GHCND:USW00013781,",,W,",11.0
2018-01-20T00:00:00,AWND,GHCND:USW00013781,",,W,",28.0
2018-01-20T00:00:00,PRCP,GHCND:USW00013781,",,W,2400",0.0
2018-01-20T00:00:00,RHAV,GHCND:USW00013781,",,W,",58.0
2018-01-20T00:00:00,RHMN,GHCND:USW00013781,",,W,",34.0
2018-01-20T00:00:00,RHMX,GHCND:USW00013781,",,W,",92.0
2018-01-20T00:00:00,SNOW,GHCND:USW00013781,",,W,",0.0
2018-01-20T00:00:00,SNWD,GHCND:USW00013781,",,W,",0.0
2018-01-20T00:00:00,TMAX,GHCND:USW00013781,",,W,2400",139.0
2018-01-20T00:00:00,TMIN,GHCND:USW00013781,",,W,2400",-38.0
2018-01-20T00:00:00,WDF2,GHCND:USW00013781,",,W,",250.0
2018-01-20T00:00:00,WDF5,GHCND:USW00013781,",,W,",250.0
2018-01-20T00:00:00,WSF2,GHCND:USW00013781,",,W,",81.0
2018-01-20T00:00:00,WSF5,GHCND:USW00013781,",,W,",103.0
2018-01-21T00:00:00,ADPT,GHCND:USW00013781,",,W,",6.0
2018-01-21T00:00:00,ASLP,GHCND:USW00013781,",,W,",10217.0
2018-01-21T00:00:00,ASTP,GHCND:USW00013781,",,W,",10179.0
2018-01-21T00:00:00,AWBT,GHCND:USW00013781,",,W,",28.0
